price,beds_baths_area,address
"85,000","231,808 sqft","Al Muraqqabat, Deira"
"75,000","341,433 sqft","Centrium Tower 4, Centrium Towers Production City (IMPZ)"
"30,000",01400 sqft,"Lawnz by Danube, International City"
"120,000","231,200 sqft","Amwaj 4, Amwaj, Jumeirah Beach Residence (JBR)"
"45,000",12949 sqft,Al Rabia Towerland
"56,000",11930 sqft,"Golden Sands 1, Al Mankhool, Bur Dubai"
"37,000",12950 sqft,"Al Nahda 1, Al Nahda (Dubai)"
"45,000","121,160 sqft","Ghoroob Mirdif, Mirdif"
"200,000","331,448 sqft","Creek Rise 1 Tower, Creek Rise Creek Harbour, The Lagoons"
"78,999","231,400 sqft","Al Barsha 1, Al Barsha"
"129,999",12872 sqft,"Burj Vista 2, Burj Vista, Downtown Dubai"
"48,000",12848 sqft,Dubai Production City (IMPZ)
"35,999",12750 sqft,Ice Hockey Tower Sports City
"55,000","231,550 sqft","Al Nahda 2, Al Nahda (Dubai)"
"45,000",12900 sqft,"Al Nahda 1, Al Nahda (Dubai)"
"65,000","332,000 sqft","Al Nahda 2, Al Nahda (Dubai)"
"45,000",11900 sqft,"Al Raffa, Bur Dubai"
"53,999","221,490 sqft","Al Muraqqabat, Deira"
"110,000","341,750 sqft","Parkside 1, Expo Golf Villas, EMAAR South South"
"135,000",12750 sqft,EMAAR Beachfront Harbour
"35,000",01480 sqft,"Al Raffa, Bur Dubai"
"72,000","231,400 sqft","Silicon Gates 1, Silicon Gates Silicon Oasis"
"240,000","352,079 sqft","Vida Residence 1, Vida Residence (The Hills), The Hills"
"70,000","341,900 sqft","Al Nahda 2, Al Nahda (Dubai)"
"37,999",12980 sqft,Dubailand
"55,000",22994 sqft,"Golf Views, EMAAR South South"
"41,985","221,600 sqft","Al Nahda 2, Al Nahda (Dubai)"
"300,000","342,939 sqft","Jumeirah Living, World Trade Centre Residence, World Trade Centre"
"52,000",12840 sqft,Dubai Silicon Oasis
"90,000","332,100 sqft","Al Mankhool, Bur Dubai"
"56,000",11928 sqft,"Golden Sands 2, Al Mankhool, Bur Dubai"
"74,999",11830 sqft,"The Cove Creek Harbour, The Lagoons"
"40,000",11736 sqft,"Diamond Views II, Diamond Views, JVC District 14, Jumeirah Village Circle (JVC)"
"155,000","231,090 sqft","29 Boulevard 1, 29 Boulevard, Downtown Dubai"
"140,000","241,680 sqft","Green Lakes 1, JLT Cluster S (Green Lake Towers), Jumeirah Lake Towers (JLT)"
"46,000","231,500 sqft","Al Nahda 2, Al Nahda (Dubai)"
"37,000",12870 sqft,"Al Nahda 2, Al Nahda (Dubai)"
"60,000","221,400 sqft",Al Qusais
"135,000","221,316 sqft","Murjan 1, Murjan, Jumeirah Beach Residence (JBR)"
"49,999","231,500 sqft","Al Nahda 2, Al Nahda (Dubai)"
"45,000",12814 sqft,"Sobha Daffodil, JVC District 13, Jumeirah Village Circle (JVC)"
"210,000","322,031 sqft","Al Jaz 1, Al Jaz, The Greens"
"52,000","231,500 sqft","Al Nahda 2, Al Nahda (Dubai)"
"36,990",12900 sqft,"Al Nahda 2, Al Nahda (Dubai)"
"31,000",12750 sqft,"Universal Apartments, Central Business District, International City"
"30,000",01456 sqft,"Al Jawhara Residences, JVT District 2, Jumeirah Village Triangle (JVT)"
"75,000",12926 sqft,"Al Sayyah Residence, Arjan"
"39,989","221,570 sqft","Al Nahda 2, Al Nahda (Dubai)"
"80,000",21700 sqft,Collective 2.0 Hills Estate
"65,000",12967 sqft,"Lake Shore Tower, JLT Cluster Y, Jumeirah Lake Towers (JLT)"
"59,000",11750 sqft,"Al Thayyal 1, Al Thayyal, The Greens"
"72,000","231,520 sqft","Al Mankhool, Bur Dubai"
"38,000",12900 sqft,"Al Nahda 2, Al Nahda (Dubai)"
"35,000",01404 sqft,"Garden West Apartments, Green Community"
"115,000","121,052 sqft","Blakely Tower, Park Island Marina"
"21,000",01510 sqft,"EMR-02, Emirates Cluster, International City"
"160,000","442,000 sqft","Al Mankhool, Bur Dubai"
"42,000","121,000 sqft","Al Nahda Tower, Al Nahda 2, Al Nahda (Dubai)"
"33,999",01480 sqft,"Shamal Residences, JVC District 14, Jumeirah Village Circle (JVC)"
"320,000","331,845 sqft","Lamtara Building 2, Lamtara, Madinat Jumeirah Living, Umm Suqeim"
"57,999","121,000 sqft","Al Durrah 7, Al Jaddaf"
"135,000",12750 sqft,"Beach Vista 2, Beach Vista, EMAAR Beachfront Harbour"
"27,000",01400 sqft,"Al Mankhool, Bur Dubai"
"82,000","231,641 sqft","Claverton House 2, Claverton House, Uptown Motor City, Motor City"
"44,000","121,101 sqft","Sobha Daffodil Wing A, Sobha Daffodil, JVC District 13, Jumeirah Village Circle (JVC)"
"82,000","231,641 sqft","Claverton House 2, Claverton House, Uptown Motor City, Motor City"
"44,000","121,101 sqft","Sobha Daffodil Wing A, Sobha Daffodil, JVC District 13, Jumeirah Village Circle (JVC)"
"33,500",12715 sqft,Centrium Towers Production City (IMPZ)
"33,000",01527 sqft,"Shamal Residences 2, Shamal Residences, JVC District 14, Jumeirah Village Circle (JVC)"
"340,000","331,818 sqft","Boulevard Point, Downtown Dubai"
"53,000",22930 sqft,"Lawnz by Danube, International City"
"95,000",11496 sqft,"Sobha Creek Vistas, Sobha Hartland, Mohammed Bin Rashid City"
"60,000","231,450 sqft",Al Jaddaf
"55,000",12818 sqft,"Victoria Residency, Al Furjan"
"38,000",01767 sqft,"Emirates Gardens 2, JVC District 14, Jumeirah Village Circle (JVC)"
"79,000","231,550 sqft","Jumeirah Garden City, Al Satwa"
"35,000",12600 sqft,"Al Dhabi Tower, Arjan"
"139,999","341,570 sqft","Al Manal Tower, Sheikh Zayed Road"
"85,000","342,250 sqft","Al Mankhool, Bur Dubai"
"80,999","221,400 sqft",Al Satwa
"58,000","121,450 sqft","JVC District 14, Jumeirah Village Circle (JVC)"
"75,000","231,500 sqft",Al Jaddaf
"41,999",12582 sqft,"Samana Hills, Arjan"
"70,000","231,400 sqft","Al Muraqqabat, Deira"
"39,000",11870 sqft,"Al Nahda 2, Al Nahda (Dubai)"
"119,999","221,184 sqft","Al Manal Tower, Sheikh Zayed Road"
"35,000",0500 sqft,"Al Mankhool, Bur Dubai"
"31,999",01490 sqft,"Mediterranean, Discovery Gardens"
"33,000",12850 sqft,"Indigo Spectrum 2, International City"
"60,000","231,410 sqft",Discovery Gardens
"75,000","231,650 sqft","Al Muraqqabat, Deira"
"39,000",12621 sqft,"Afnan 1, Afnan District, Midtown Production City (IMPZ)"
"82,000","231,500 sqft","Golden Sands 9, Al Mankhool, Bur Dubai"
"83,000","231,250 sqft",Al Jaddaf
"64,990",11900 sqft,"Al Arta 1, Al Arta, The Greens"
"48,000","231,500 sqft","Al Nahda 2, Al Nahda (Dubai)"
"35,000",01400 sqft,Al Jaddaf
"30,000",11734 sqft,"Skycourts Tower D, Skycourts Towers Residence Complex"
"120,000","231,358 sqft","Noora, Al Habtoor City, Business Bay"
"135,000",11750 sqft,"Beach Vista 2, Beach Vista, EMAAR Beachfront Harbour"
"135,000","221,329 sqft","The Links East Tower, The Links, The Views"
"48,999","121,200 sqft",The Gate Residence 1 Residence Complex
"135,000",12750 sqft,"Beach Vista 2, Beach Vista, EMAAR Beachfront Harbour"
"70,000","231,400 sqft","Al Muraqqabat, Deira"
"75,000","231,309 sqft","Azizi Iris, Al Furjan"
"60,000",12836 sqft,Dubai Marina
"40,000","221,063 sqft","Skycourts Tower B, Skycourts Towers Residence Complex"
"130,000",12711 sqft,"Beach Vista, EMAAR Beachfront Harbour"
"120,000","121,021 sqft","Maze Tower, Sheikh Zayed Road"
"46,800","221,550 sqft","Al Nahda 2, Al Nahda (Dubai)"
"27,000",01500 sqft,"Abu Hail, Deira"
"30,000",01500 sqft,"Lorena Building, JVC District 11, Jumeirah Village Circle (JVC)"
"76,000","231,450 sqft",Al Jaddaf
"170,000","221,008 sqft",5242 Towers Marina
"120,000",12904 sqft,"Banyan Tree Residences, Jumeirah Lake Towers (JLT)"
"35,000",01371 sqft,"Goldcrest Views 2, JLT Cluster J, Jumeirah Lake Towers (JLT)"
"80,000",12653 sqft,"The Pad, Business Bay"
"82,000",12761 sqft,The Point Marina
"37,000",11717 sqft,"Diamond Views III, Diamond Views, JVC District 14, Jumeirah Village Circle (JVC)"
"131,000","231,300 sqft",Business Bay
"32,000",12750 sqft,"Greece Cluster, International City"
"60,000",23884 sqft,"Zahra Apartments 1A, Zahra Apartments, Town Square"
"95,000",11653 sqft,"The Pad, Business Bay"
"49,000",11950 sqft,The Gate Residence 1 Residence Complex
"45,000","231,450 sqft","Al Nahda 2, Al Nahda (Dubai)"
"40,000",12900 sqft,"Al Nahda 2, Al Nahda (Dubai)"
"59,000",11755 sqft,"Al Samar 4, Al Samar, The Greens"
"21,000",01484 sqft,"Emirates Cluster, International City"
"24,000",01450 sqft,Sondos Sage Residence Complex
"72,999","341,800 sqft","Al Qusais 2, Al Qusais Residential Area, Al Qusais"
"46,000","1285,756 sqft",Arjan
"40,000",11660 sqft,Silicon Arch Silicon Oasis
"50,000","111,038 sqft","Marlowe House 1, Marlowe House, Uptown Motor City, Motor City"
"74,995","231,344 sqft","Al Fahad Tower 2, Barsha Heights (Tecom)"
"33,000",12800 sqft,Dubai Silicon Oasis
"55,000",23800 sqft,SOL Star Investment Park (DIP)
"32,000",11510 sqft,"Al Dhabi Tower, Arjan"
"55,000",23800 sqft,SOL Star Investment Park (DIP)
"32,000",11510 sqft,"Al Dhabi Tower, Arjan"
"35,000",12850 sqft,University View Silicon Oasis
"125,000","322,013 sqft","Golden Sands 9, Al Mankhool, Bur Dubai"
"110,000","221,550 sqft","Two Towers B, Two Towers, Barsha Heights (Tecom)"
"49,998","231,500 sqft","Warsan 4, Al Warsan"
"148,000","221,324 sqft","Paramount Hotel & Residences, Business Bay"
"47,900","221,217 sqft","Urbana III, Urbana, EMAAR South South"
"57,000","221,250 sqft","Al Barsha 1, Al Barsha"
"32,000",01514 sqft,"Botanica, JVC District 13, Jumeirah Village Circle (JVC)"
"65,000",23941 sqft,"Binghatti Rose, JVC District 15, Jumeirah Village Circle (JVC)"
"47,900",01412 sqft,"Farhad Azizi Residence Healthcare City Phase 2, Al Jaddaf"
"35,990","121,000 sqft","Warsan 4, Al Warsan"
"48,000",12910 sqft,Polo Building Silicon Oasis
"120,000","231,618 sqft","Manazel Al Safa, Business Bay"
"35,999",12940 sqft,Al Nahda (Dubai)
"29,999",01460 sqft,"Building 188, Mogul, Discovery Gardens"
"55,000","231,388 sqft",Lago Vista Production City (IMPZ)
"45,000","121,200 sqft","JVC District 12, Jumeirah Village Circle (JVC)"
"47,990","221,500 sqft","Warsan 4, Al Warsan"
"280,000","331,845 sqft","Madinat Jumeirah Living, Umm Suqeim"
"63,000","342,000 sqft",Al Qusais
"70,000","231,333 sqft","Al Rigga, Deira"
"10,999,999","341,987 sqft","Ellington Beach House, Palm Jumeirah"
"31,000",12753 sqft,"S-04, Spain Cluster, International City"
"43,999",12907 sqft,"Sobha Daffodil Wing B, Sobha Daffodil, JVC District 13, Jumeirah Village Circle (JVC)"
"225,000","341,933 sqft",ANWA Maritime City
"42,000","121,200 sqft","JVC District 11, Jumeirah Village Circle (JVC)"
"54,000",12909 sqft,"Al Rigga, Deira"
"30,000",01500 sqft,"Oud Metha, Bur Dubai"
"27,000",01484 sqft,Cartel 2 Building Silicon Oasis
"50,000","231,500 sqft",Al Qusais
"62,000","331,500 sqft","Al Nahda 1, Al Nahda (Dubai)"
"110,000","332,000 sqft","Al Rostamani Tower A, Al Rostamani Towers, Sheikh Zayed Road"
"62,000",22970 sqft,"Jenna Main Square 2, Jenna Main Square, Town Square"
"42,000","121,100 sqft","Lorena Building, JVC District 11, Jumeirah Village Circle (JVC)"
"40,000",12950 sqft,"JVC District 12, Jumeirah Village Circle (JVC)"
"90,000",11915 sqft,"Burj Views Podium, Burj Views, Downtown Dubai"
"105,000","352,000 sqft","Saleh Bin Lahej Building 365, Al Barsha 1, Al Barsha"
"30,000",01500 sqft,"JVC District 11, Jumeirah Village Circle (JVC)"
"50,000",11502 sqft,"Oasis Residence, Barsha Heights (Tecom)"
"42,999",11800 sqft,"Al Mankhool, Bur Dubai"
"185,000","341,814 sqft","Rimal 6, Rimal, Jumeirah Beach Residence (JBR)"
"28,000",01300 sqft,Al Karama
"30,000",11730 sqft,Dubai Production City (IMPZ)
"85,000","221,045 sqft","Creek Gate Tower 1, Creek Gate Creek Harbour, The Lagoons"
"32,000",01450 sqft,Arjan
"38,000",11850 sqft,"Palace Tower 2, Palace Towers Silicon Oasis"
"32,000",01450 sqft,Arjan
"38,000",11850 sqft,"Palace Tower 2, Palace Towers Silicon Oasis"
"46,000",11722 sqft,"Joya Verde Residences, JVC District 11, Jumeirah Village Circle (JVC)"
"39,000",01623 sqft,"Weston Court 2, Weston Court, Motor City"
"55,000",23982 sqft,"Abdul Wahed Bin Shabib Building, Arjan"
"50,000",12850 sqft,"Heritage Building, Al Barsha 1, Al Barsha"
"99,999",11900 sqft,"Rahaal, Madinat Jumeirah Living, Umm Suqeim"
"42,000",12650 sqft,SOL Star Investment Park (DIP)
"125,000","231,398 sqft","Q Gardens, Arjan"
"59,999",1799 sqft,Barsha Heights (Tecom)
"30,000",01430 sqft,"Carson Tower C, Carson - The Drive, DAMAC Hills"
"58,000","221,350 sqft","Al Nahda 2, Al Nahda (Dubai)"
"29,000",01505 sqft,Discovery Gardens
"62,000","342,135 sqft","Al Nahda 1, Al Nahda (Dubai)"
"39,000",12850 sqft,The Dunes Silicon Oasis
"140,000","342,020 sqft","Widcombe House 2, Widcombe House, Uptown Motor City, Motor City"
"69,990",23959 sqft,"Binghatti Rose, JVC District 15, Jumeirah Village Circle (JVC)"
"60,000",11470 sqft,"Vera Residences, Business Bay"
"47,999","221,150 sqft",Al Nahda (Dubai)
"28,000",01407 sqft,"Carson - The Drive, DAMAC Hills"
"40,000",12710 sqft,Topaz Residences Silicon Oasis
"33,980","121,000 sqft","Warsan 4, Al Warsan"
"34,000",12870 sqft,Sondos Sage Residence Complex
"30,000",01500 sqft,"JVC District 11, Jumeirah Village Circle (JVC)"
"100,000",22913 sqft,"Reva Residences, Business Bay"
"139,999",23993 sqft,Executive Residences Hills Estate
"55,000",11900 sqft,"National Bonds Plaza, Barsha Heights (Tecom)"
"80,000","221,300 sqft","Al Hawai Residence, Barsha Heights (Tecom)"
"39,999",12850 sqft,"The Blue Reef Al Barsha Building, Arjan"
"53,000",11918 sqft,"Souk Al Kabeer-4 Building, Al Souk Al Kabeer, Bur Dubai"
"48,990","231,400 sqft","Al Nahda 1, Al Nahda (Dubai)"
"45,000","231,249 sqft","Queue Point, Liwan"
"85,000","121,254 sqft","Executive Tower M (West Heights 1), Executive Towers, Business Bay"
"85,000","221,042 sqft","Dubai Creek Residence Tower 2 North Creek Harbour, The Lagoons"
"40,000",01450 sqft,"Saleh Bin Lahej Building 361, Al Barsha 1, Al Barsha"
"42,000","121,000 sqft",Discovery Gardens
"28,000",0406 sqft,"Carson Tower B, Carson - The Drive, DAMAC Hills"
"47,999","231,450 sqft","Al Warqaa 1, Al Warqaa"
"125,000",11773 sqft,"Le Pont, Port De La Mer, La Mer, Jumeirah"
"57,000",22882 sqft,"Safi 1, Safi Apartments, Town Square"
"80,000","332,000 sqft",Dubai Silicon Oasis
"32,999",12900 sqft,Al Nahda (Dubai)
"126,000","231,550 sqft","Jumeirah 1, Jumeirah"
"75,000","231,500 sqft","Jumeirah Garden City, Al Satwa"
"44,000","121,150 sqft",4Direction Residence 1 Residence Complex
"85,000","231,416 sqft","Spica Residential, JVC District 10, Jumeirah Village Circle (JVC)"
"80,000","111,020 sqft","Waves Tower, Business Bay"
"39,999",12850 sqft,"The Blue Reef Al Barsha Building, Arjan"
"80,000","111,020 sqft","Waves Tower, Business Bay"
"39,999",12850 sqft,"The Blue Reef Al Barsha Building, Arjan"
"30,000",01380 sqft,"Al Hamriya, Bur Dubai"
"72,000","331,810 sqft","Al Nahda 1, Al Nahda (Dubai)"
"130,000","231,396 sqft",Skyview Tower Marina
"85,000","241,800 sqft",Dubai Silicon Oasis
"44,995","241,550 sqft","Al Nahda 2, Al Nahda (Dubai)"
"200,000","341,925 sqft","Rimal 5, Rimal, Jumeirah Beach Residence (JBR)"
"45,000","231,500 sqft",Al Nahda (Dubai)
"32,999",12948 sqft,"Al Warqaa 1, Al Warqaa"
"41,000",12770 sqft,"Al Manal Residence 1, Al Manal Residence Silicon Oasis"
"65,000",12950 sqft,"Al Mankhool, Bur Dubai"
"84,000",12915 sqft,"Burj Views B, Burj Views, Downtown Dubai"
"26,990",01550 sqft,"Al Nahda 2, Al Nahda (Dubai)"
"60,000","121,000 sqft","Jumeirah Garden City, Al Satwa"
"49,990","231,550 sqft","Warsan 4, Al Warsan"
"39,100","121,253 sqft","Aws Family Residence, Jebel Ali Industrial Area 1, Jebel Ali Industrial Area, Jebel Ali"
"72,000",12900 sqft,"Majestic Tower, Business Bay"
"90,000","342,000 sqft","Al Mankhool, Bur Dubai"
"310,000","342,288 sqft","Sapphire, Tiara Residences, Palm Jumeirah"
"60,000",12800 sqft,Dubai Silicon Oasis
"27,000",01650 sqft,"Warsan 4, Al Warsan"
"60,000",22884 sqft,"Zahra Breeze Apartments 1A, Zahra Breeze Apartments, Town Square"
"45,000",12800 sqft,"Al Barsha 1, Al Barsha"
"55,000",22980 sqft,"Binghatti Gems, JVC District 12, Jumeirah Village Circle (JVC)"
"52,000",12758 sqft,"Al Muraqqabat, Deira"
"80,000","231,500 sqft","Al Barsha 1, Al Barsha"
"80,000",12921 sqft,ANWA Maritime City
"36,000","121,000 sqft","Warsan 1, Al Warsan"
"90,000","231,357 sqft","Sherlock House 1, Sherlock House, Uptown Motor City, Motor City"
"50,000","221,188 sqft",Hub Canal 2 Tower Sports City
"60,000","332,050 sqft",Al Nahda (Dubai)
"45,000",01516 sqft,"AG Tower, Business Bay"
"54,999","121,050 sqft","Al Waleed Gardens, Al Jaddaf"
"72,399","231,453 sqft","Jumeirah 1, Jumeirah"
"40,000",12950 sqft,"Al Warqaa 1, Al Warqaa"
"33,000",12850 sqft,"Al Warqaa 1, Al Warqaa"
"110,000","331,997 sqft","Al Rostamani Tower A, Al Rostamani Towers, Sheikh Zayed Road"
"130,999","231,514 sqft","Tiara East Tower, Tiara United Towers, Sheikh Zayed Road"
"36,999",12730 sqft,"Abu Hail, Deira"
"45,000",12638 sqft,"Al Ramth, Remraam"
"90,000","231,600 sqft","Al Mankhool, Bur Dubai"
"160,000","221,255 sqft","J One Tower A, J One, Business Bay"
"49,990","231,700 sqft","Warsan 4, Al Warsan"
"23,990",01350 sqft,"Warsan 4, Al Warsan"
"145,000","341,588 sqft",Marina Tower Marina
"50,000",12800 sqft,"Al Barsha 1, Al Barsha"
"75,000",12736 sqft,Elite Residence Marina
"115,555",11677 sqft,5242 Towers Marina
"30,000",11699 sqft,"Mazaya 7, Queue Point, Liwan"
"80,000","231,500 sqft","Al Mankhool, Bur Dubai"
"92,000","332,200 sqft","Oud Metha, Bur Dubai"
"49,000","231,450 sqft","Al Nahda 1, Al Nahda (Dubai)"
"50,000",12800 sqft,"Al Barsha 1, Al Barsha"
"64,999","231,400 sqft","Al Moosawi Oriental, Barsha Heights (Tecom)"
"70,000","331,790 sqft","Al Nahda 1, Al Nahda (Dubai)"
"36,999",11900 sqft,"Warsan 4, Al Warsan"
"36,990",12900 sqft,"Al Nahda 1, Al Nahda (Dubai)"
"240,000","341,839 sqft","The Residences, Downtown Dubai"
"85,000","231,450 sqft","Al Karama Building, Al Karama"
"90,000","121,012 sqft","Green Lakes 2, JLT Cluster S (Green Lake Towers), Jumeirah Lake Towers (JLT)"
"32,999",12848 sqft,"Al Warqaa 1, Al Warqaa"
"185,000","221,119 sqft",5242 Towers Marina
"21,000",01480 sqft,"L-04, Greece Cluster, International City"
"49,999","231,580 sqft","Al Nahda 2, Al Nahda (Dubai)"
"100,000","221,296 sqft",Marina Tower Marina
"55,000","231,450 sqft","Nad Al Hamar Tower, Nad Al Hamar"
"100,000","231,679 sqft",KG Tower Marina
"44,000",12970 sqft,"Abdul Wahed Bin Shabib Building, Arjan"
"70,000",21781 sqft,"The Nook, Wasl Gate"
"85,000","332,250 sqft","Abu Hail, Deira"
"36,000",12888 sqft,"Elite Sports Residence 4, Elite Sports Residence Sports City"
"85,000","332,250 sqft","Abu Hail, Deira"
"36,000",12888 sqft,"Elite Sports Residence 4, Elite Sports Residence Sports City"
"37,000",12924 sqft,"Axis 2, Axis Residence Silicon Oasis"
"28,999",01395 sqft,"Salim 1, Arjan"
"75,000","332,000 sqft","Al Nahda 1, Al Nahda (Dubai)"
"39,999","231,400 sqft","Al Nahda 2, Al Nahda (Dubai)"
"30,000",01500 sqft,Al Nahda (Dubai)
"75,000","221,150 sqft","Blue Tower, Sheikh Zayed Road"
"53,000",12983 sqft,"Regent House 2, Regent House, Uptown Motor City, Motor City"
"50,000","221,350 sqft","Al Nahda 1, Al Nahda (Dubai)"
"48,000",12800 sqft,Barsha Heights (Tecom)
"40,000",11800 sqft,"Al Hamriya, Bur Dubai"
"110,000","231,210 sqft",Continental Tower Marina
"45,000",11750 sqft,"Abu Hail, Deira"
"35,000","121,300 sqft","Al Nahda 1, Al Nahda (Dubai)"
"42,000","221,578 sqft","Al Qusais Residential Area, Al Qusais"
"62,000","332,000 sqft","Al Nahda 1, Al Nahda (Dubai)"
"68,000","221,180 sqft","Souk Al Kabeer-4 Building, Al Souk Al Kabeer, Bur Dubai"
"56,999","231,194 sqft","La Fontana Apartments, Arjan"
"49,999","231,465 sqft","Al Nahda 1, Al Nahda (Dubai)"
"72,000",12850 sqft,Barsha Heights (Tecom)
"36,980",11900 sqft,"Warsan 4, Al Warsan"
"55,000","231,500 sqft","Al Nahda 1, Al Nahda (Dubai)"
"32,990",11950 sqft,"Al Nahda 2, Al Nahda (Dubai)"
"25,000",01395 sqft,"Al Nahda 1, Al Nahda (Dubai)"
"32,000",12750 sqft,"Greece Cluster, International City"
"210,000","231,417 sqft","Burj Vista 1, Burj Vista, Downtown Dubai"
"38,975","121,000 sqft","Al Nahda 2, Al Nahda (Dubai)"
"69,900","331,900 sqft","Al Nahda 1, Al Nahda (Dubai)"
"47,999",12850 sqft,"Al Moosawi Oriental, Barsha Heights (Tecom)"
"100,000","342,000 sqft","Dune Residency, JVC District 17, Jumeirah Village Circle (JVC)"
"37,000",12915 sqft,"Al Nahda 1, Al Nahda (Dubai)"
"72,000","332,100 sqft","Al Muteena, Deira"
"70,000","221,191 sqft",Bur Dubai
"35,900",01360 sqft,Escan Marina Tower Marina
"94,000","331,624 sqft","Al Muraqqabat, Deira"
"40,000",11958 sqft,"Al Karama Building, Al Karama"
"38,000",01370 sqft,Manchester Tower Marina
"59,000",12800 sqft,"Al Mankhool, Bur Dubai"
"31,000",12735 sqft,International City
"35,000",12825 sqft,"Al Nahda 1, Al Nahda (Dubai)"
"69,900","231,510 sqft","Oud Metha, Bur Dubai"
"48,990","231,500 sqft","Al Nahda 1, Al Nahda (Dubai)"
"58,000","231,500 sqft","Al Nahda 1, Al Nahda (Dubai)"
"37,999",11900 sqft,"Al Kaabi Building, Al Nahda 1, Al Nahda (Dubai)"
"35,000","121,000 sqft",Al Nahda (Dubai)
"50,000","231,500 sqft",Al Qusais
"24,999",01400 sqft,"Warsan 4, Al Warsan"
"35,000","121,000 sqft",Al Nahda (Dubai)
"50,000","231,500 sqft",Al Qusais
"24,999",01400 sqft,"Warsan 4, Al Warsan"
"54,999","321,450 sqft","Al Qusais 1, Al Qusais Residential Area, Al Qusais"
"23,994",01400 sqft,"Warsan 4, Al Warsan"
"33,000",12920 sqft,"Warsan 4, Al Warsan"
"30,000",01500 sqft,"Al Barsha 1, Al Barsha"
"64,999","121,035 sqft","Oud Metha, Bur Dubai"
"22,000",01484 sqft,"T-03, Spain Cluster, International City"
"42,000","221,300 sqft",Al Nahda (Dubai)
"43,000",12808 sqft,Nibras Oasis 1 Silicon Oasis
"70,000","231,400 sqft","Al Muraqqabat, Deira"
"90,000","341,900 sqft","Al Mankhool, Bur Dubai"
"63,000","231,138 sqft","Azizi Aura, Downtown Jebel Ali"
"160,000","231,553 sqft","Attessa, Marina Promenade Marina"
"107,400","332,196 sqft",Al Hudaiba
"37,000",12999 sqft,"Warsan 4, Al Warsan"
"80,000","241,600 sqft","Al Muraqqabat, Deira"
"65,999","111,027 sqft",Al Karama
"27,000",01531 sqft,Binghatti Crystals Silicon Oasis
"145,000","232,410 sqft","Fairmont Dubai, Sheikh Zayed Road"
"59,999","211,400 sqft","Al Barsha 1, Al Barsha"
"155,000","341,720 sqft",The Torch Marina
"25,000",01379 sqft,Dubailand
"30,000",12740 sqft,"L-12, Greece Cluster, International City"
"105,000",12806 sqft,"Silverene Tower B, Silverene Marina"
"36,500",12840 sqft,"Berlin Group 1, Phase 2, International City"
"75,000",12673 sqft,"Creekside 18 Tower A, Creekside 18 Creek Harbour, The Lagoons"
"77,999","231,260 sqft",Al Sufouh
"77,500",12800 sqft,Sheikh Zayed Road
"104,000","341,539 sqft","Manazil Al Barsha First 01, Al Barsha 1, Al Barsha"
"75,000","241,800 sqft","Al Raffa, Bur Dubai"
"23,000",01484 sqft,"Spain Cluster, International City"
"54,999",12850 sqft,"Al Barsha 1, Al Barsha"
"790,000","341,428 sqft","Binghatti Avenue, Al Jaddaf"
"36,000","121,082 sqft","Al Qusais Residential Area, Al Qusais"
"80,000",22970 sqft,"Icon Tower 1, JLT Cluster M, Jumeirah Lake Towers (JLT)"
"43,000",12970 sqft,"Courtyard Apartments, Uptown Mirdif, Mirdif"
"69,999",11664 sqft,"Merano Tower, Business Bay"
"35,000",12900 sqft,"Abu Hail, Deira"
"90,000","231,600 sqft","Oud Metha Building, Oud Metha, Bur Dubai"
"26,999",01550 sqft,"Rivington Heights, Warsan 4, Al Warsan"
"44,990","221,450 sqft","Al Nahda 2, Al Nahda (Dubai)"
"45,000","121,000 sqft","API Arjan Two Building, Arjan"
"28,999",01450 sqft,"Burj View Residence, Arjan"
"57,999","231,450 sqft","Al Nahda 1, Al Nahda (Dubai)"
"110,000","221,153 sqft","Signature Livings, JVC District 10, Jumeirah Village Circle (JVC)"
"40,000",11604 sqft,Town Square
"24,990",01500 sqft,"Warsan 4, Al Warsan"
"49,999",12850 sqft,"Al Barsha 1, Al Barsha"
"23,999",01370 sqft,"Warsan 4, Al Warsan"
"26,000",01350 sqft,"Al Hamriya Building, Al Hamriya, Bur Dubai"
"29,999",01360 sqft,Dubai Production City (IMPZ)
"44,999",01539 sqft,"New Dubai Gate 1, JLT Cluster Q, Jumeirah Lake Towers (JLT)"
"59,999","241,530 sqft",Al Mamzar
"58,000",12753 sqft,"Mag 214 Tower, JLT Cluster R, Jumeirah Lake Towers (JLT)"
"49,999","221,470 sqft","Abu Hail, Deira"
"36,999",12950 sqft,"Al Nahda 2, Al Nahda (Dubai)"
"70,000","231,320 sqft","Al Mankhool, Bur Dubai"
"65,000","231,112 sqft",Sapphire Residence Silicon Oasis
"100,000","231,130 sqft","Rose, Al Murooj Complex, DIFC"
"140,000","221,690 sqft","Al Seef Tower 3, JLT Cluster U (Al Seef Towers), Jumeirah Lake Towers (JLT)"
"52,999",11855 sqft,Al Karama
"65,000","231,498 sqft","Al Ramth 23, Al Ramth, Remraam"
"60,000","121,369 sqft","Al Andalus Tower F, Al Andalus, Jumeirah Golf Estates"
"83,990","231,251 sqft","Art Tower XV, Business Bay"
"40,000",12900 sqft,"Silicon Heights 2, Silicon Heights Silicon Oasis"
"114,999","231,323 sqft","Shams 2, Shams, Jumeirah Beach Residence (JBR)"
